AsciiStringChars,_AsciiStringChars,878,DATA,
CompileEx,_CompileEx@16,1080,,
CompileLine,_CompileLine@16,279,,
ExecuteFile,_ExecuteFile@28,201,,
ExecuteLine,_ExecuteLine@32,280,,
ExtraFree,_ExtraFree@8,177,,
FlagsDisable,_FlagsDisable@8,185,,
FlagsEnable,_FlagsEnable@8,184,,
IDCFuncs,_IDCFuncs,821,DATA,
InstrIsSet,_InstrIsSet@8,941,,
MD5Final,_MD5Final@8,534,,
MD5Init,_MD5Init@4,957,,
MD5Transform,_MD5Transform@8,608,,
MD5Update,_MD5Update@12,334,,
MakeBorder,_MakeBorder@0,753,,
MakeLine,_MakeLine@8,276,,
MakeNull,_MakeNull@0,570,,
MakeSolidBorder,_MakeSolidBorder@0,752,,
MangleChars,_MangleChars,876,DATA,
NameChars,_NameChars,877,DATA,
OutBadInstruction,_OutBadInstruction@0,655,,
OutChar,_OutChar@4,726,,
OutImmChar,_OutImmChar@4,722,,
OutLine,_OutLine@4,281,,
OutLong,_OutLong@8,463,,
OutMnem,_OutMnem@8,580,,
OutValue,_OutValue@8,370,,
QueueDel,_QueueDel@8,547,,
QueueGet,_QueueGet@4,924,,
QueueGetType,_QueueGetType@8,317,,
QueueMark,_QueueMark@8,529,,
Registration,_Registration@4,653,,
RootNode,_RootNode,176,DATA,
Run,_Run@24,665,,
SRareas,_SRareas,819,DATA,
SetDefaultRegisterValue,_SetDefaultRegisterValue@12,369,,
SubstChar,_SubstChar,725,DATA,
VarFloat,_VarFloat@4,916,,
VarFree,_VarFree@4,180,,
VarLong,_VarLong@4,462,,
VarNum,_VarNum@4,623,,
VarString,_VarString@4,450,,
XlatAsciiName,_XlatAsciiName,264,DATA,
___CPPdebugHook,___CPPdebugHook,1112,DATA,by_name
a2funcoff,_a2funcoff@12,407,,
add_auto_stkpnt,_add_auto_stkpnt@8,986,,
add_byte,_add_byte@8,353,,
add_const,_add_const@16,1015,,
add_cref,_add_cref@12,398,,
add_dref,_add_dref@12,401,,
add_entry,_add_entry@16,1100,,
add_enum,_add_enum@12,613,,
add_frame,_add_frame@16,268,,
add_func,_add_func@8,78,,
add_func_ex,_add_func_ex@4,1073,,
add_hidden_area,_add_hidden_area@24,47,,
add_long,_add_long@12,452,,
add_long_cmt_v,_add_long_cmt_v@16,1050,,
add_regarg,_add_regarg@16,465,,
add_regvar,_add_regvar@24,728,,
add_segm,_add_segm@20,586,,
add_segm_ex,_add_segm_ex@16,1074,,
add_segment_translation,_add_segment_translation@8,651,,
add_sourcefile,_add_sourcefile@12,197,,
add_stkvar,_add_stkvar@8,733,,
add_stkvar2,_add_stkvar2@24,12,,
add_struc,_add_struc@12,102,,
add_struc_member,_add_struc_member@24,743,,
add_til,_add_til@4,558,,
add_user_stkpnt,_add_user_stkpnt@8,987,,
add_word,_add_word@12,148,,
addblanks,_addblanks@8,857,,
align_down_to_stack,_align_down_to_stack@4,515,,
align_up_to_stack,_align_up_to_stack@8,516,,
allocate_selector,_allocate_selector@4,784,,
analyze_area,_analyze_area@8,45,,
ansi2idb,_ansi2idb@4,64,,
append_cmt,_append_cmt@12,965,,
append_func_tail,_append_func_tail@12,553,,
append_snprintf,_append_snprintf,420,,
append_struct_fields,_append_struct_fields@36,824,,
apply_callee_type,_apply_callee_type@12,296,,
apply_cdecl,_apply_cdecl@8,543,,
apply_idasgn,_apply_idasgn@4,640,,
apply_idasgn_to,_apply_idasgn_to@12,689,,
apply_named_type,_apply_named_type@8,295,,
apply_once_type_and_name,_apply_once_type_and_name@12,220,,
apply_type,_apply_type@12,311,,
apply_type_to_stkarg,_apply_type_to_stkarg@16,466,,
areacb_t_choose_area,_areacb_t_choose_area@48,43,,
areacb_t_choose_area2,_areacb_t_choose_area2@52,11,,
areacb_t_create,_areacb_t_create@16,337,,
areacb_t_create_area,_areacb_t_create_area@8,44,,
areacb_t_del_area,_areacb_t_del_area@12,46,,
areacb_t_for_all_areas,_areacb_t_for_all_areas@20,817,,
areacb_t_get_area,_areacb_t_get_area@8,49,,
areacb_t_get_area_cmt,_areacb_t_get_area_cmt@12,962,,
areacb_t_get_area_num,_areacb_t_get_area_num@8,611,,
areacb_t_get_area_qty,_areacb_t_get_area_qty@4,1105,,
